Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.44     0.00   100000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00      1.44     0.00   100000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00      1.44     0.00   100000     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00      1.44     0.00   100000     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::allocator<double>&)
  0.00      1.44     0.00      624     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      1.44     0.00      624     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.00      1.44     0.00      623     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      1.44     0.00      623     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00      1.44     0.00      304     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::min()
  0.00      1.44     0.00      304     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.00      1.44     0.00      152     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::operator()()
  0.00      1.44     0.00      152     0.00     0.00  double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      1.44     0.00      128     0.00     0.00  std::normal_distribution<double>::param_type::mean() const
  0.00      1.44     0.00      128     0.00     0.00  std::normal_distribution<double>::param_type::stddev() const
  0.00      1.44     0.00      128     0.00     0.00  double std::normal_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      1.44     0.00      128     0.00     0.00  double std::normal_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::normal_distribution<double>::param_type const&)
  0.00      1.44     0.00      128     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::_Adaptor(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      1.44     0.00       52     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const
  0.00      1.44     0.00       33     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00      1.44     0.00       24     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
  0.00      1.44     0.00       24     0.00     0.00  std::vector<double, std::allocator<double> >::max_size() const
  0.00      1.44     0.00       24     0.00     0.00  std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&)
  0.00      1.44     0.00       16     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00      1.44     0.00       16     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.00      1.44     0.00       16     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00      1.44     0.00       16     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00      1.44     0.00       16     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  0.00      1.44     0.00       13     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00      1.44     0.00       13     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char const>(char const*)
  0.00      1.44     0.00       13     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_is_local() const
  0.00      1.44     0.00       13     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data() const
  0.00      1.44     0.00       13     0.00     0.00  std::allocator<double>::~allocator()
  0.00      1.44     0.00       13     0.00     0.00  std::char_traits<char>::copy(char*, char const*, unsigned long)
  0.00      1.44     0.00       13     0.00     0.00  std::char_traits<char>::assign(char&, char const&)
  0.00      1.44     0.00       13     0.00     0.00  std::pointer_traits<char const*>::pointer_to(char const&)
  0.00      1.44     0.00       13     0.00     0.00  std::pointer_traits<char*>::pointer_to(char&)
  0.00      1.44     0.00       13     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_dispose()
  0.00      1.44     0.00       13     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::_Alloc_hider(char*, std::allocator<char> const&)
  0.00      1.44     0.00       13     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::~_Alloc_hider()
  0.00      1.44     0.00       13     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*)
  0.00      1.44     0.00       13     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00      1.44     0.00       13     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data()
  0.00      1.44     0.00       13     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_set_length(unsigned long)
  0.00      1.44     0.00       13     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy_chars(char*, char const*, char const*)
  0.00      1.44     0.00       13     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct_aux<char const*>(char const*, char const*, std::__false_type)
  0.00      1.44     0.00       13     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy(char*, char const*, unsigned long)
  0.00      1.44     0.00       13     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_length(unsigned long)
  0.00      1.44     0.00       13     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00      1.44     0.00       13     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::~basic_string()
  0.00      1.44     0.00       13     0.00     0.00  std::iterator_traits<char const*>::difference_type std::__distance<char const*>(char const*, char const*, std::random_access_iterator_tag)
  0.00      1.44     0.00       13     0.00     0.00  char const* std::__addressof<char const>(char const&)
  0.00      1.44     0.00       13     0.00     0.00  char* std::__addressof<char>(char&)
  0.00      1.44     0.00       13     0.00     0.00  std::iterator_traits<char const*>::iterator_category std::__iterator_category<char const*>(char const* const&)
  0.00      1.44     0.00       13     0.00     0.00  std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*)
  0.00      1.44     0.00       13     0.00     0.00  char const* std::addressof<char const>(char const&)
  0.00      1.44     0.00       13     0.00     0.00  char* std::addressof<char>(char&)
  0.00      1.44     0.00       12     0.00     0.00  std::move_iterator<double*>::base() const
  0.00      1.44     0.00       12     0.00     0.00  std::move_iterator<double*>::move_iterator(double*)
  0.00      1.44     0.00       12     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<double*>(std::move_iterator<double*>)
  0.00      1.44     0.00       12     0.00     0.00  double* std::__miter_base<double*>(double*)
  0.00      1.44     0.00       12     0.00     0.00  std::move_iterator<double*> std::__make_move_if_noexcept_iterator<double, std::move_iterator<double*> >(double*)
  0.00      1.44     0.00       10     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.00      1.44     0.00       10     0.00     0.00  double __gnu_cxx::__stoa<double, double, char>(double (*)(char const*, char**), char const*, char const*, unsigned long*)
  0.00      1.44     0.00       10     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::c_str() const
  0.00      1.44     0.00       10     0.00     0.00  std::allocator<double>::allocator()
  0.00      1.44     0.00       10     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00      1.44     0.00       10     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00      1.44     0.00       10     0.00     0.00  std::__cxx11::stod(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long*)
  0.00      1.44     0.00       10     0.00     0.00  __gnu_cxx::__stoa<double, double, char>(double (*)(char const*, char**), char const*, char const*, unsigned long*)::_Range_chk::_S_chk(double, std::integral_constant<bool, false>)
  0.00      1.44     0.00       10     0.00     0.00  __gnu_cxx::__stoa<double, double, char>(double (*)(char const*, char**), char const*, char const*, unsigned long*)::_Save_errno::_Save_errno()
  0.00      1.44     0.00       10     0.00     0.00  __gnu_cxx::__stoa<double, double, char>(double (*)(char const*, char**), char const*, char const*, unsigned long*)::_Save_errno::~_Save_errno()
  0.00      1.44     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  0.00      1.44     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  0.00      1.44     0.00        9     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00      1.44     0.00        9     0.00     0.00  std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long)
  0.00      1.44     0.00        9     0.00     0.00  std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long)
  0.00      1.44     0.00        8     0.00     0.00  double* std::__uninitialized_default_n_1<true>::__uninit_default_n<double*, unsigned long>(double*, unsigned long)
  0.00      1.44     0.00        8     0.00     0.00  double* std::__uninitialized_default_n<double*, unsigned long>(double*, unsigned long)
  0.00      1.44     0.00        8     0.00     0.00  double* std::__uninitialized_default_n_a<double*, unsigned long, double>(double*, unsigned long, std::allocator<double>&)
  0.00      1.44     0.00        7     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl()
  0.00      1.44     0.00        7     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base()
  0.00      1.44     0.00        7     0.00     0.00  std::vector<double, std::allocator<double> >::vector()
  0.00      1.44     0.00        6     0.00     0.00  std::vector<double, std::allocator<double> >::_M_check_len(unsigned long, char const*) const
  0.00      1.44     0.00        6     0.00     0.00  double* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.00      1.44     0.00        6     0.00     0.00  double* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00      1.44     0.00        6     0.00     0.00  std::vector<double, std::allocator<double> >::_M_default_append(unsigned long)
  0.00      1.44     0.00        6     0.00     0.00  std::vector<double, std::allocator<double> >::resize(unsigned long)
  0.00      1.44     0.00        6     0.00     0.00  double* std::__copy_move_a<true, double*, double*>(double*, double*, double*)
  0.00      1.44     0.00        6     0.00     0.00  double* std::__copy_move_a2<true, double*, double*>(double*, double*, double*)
  0.00      1.44     0.00        6     0.00     0.00  double* std::uninitialized_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00      1.44     0.00        6     0.00     0.00  double* std::__uninitialized_copy_a<std::move_iterator<double*>, double*, double>(std::move_iterator<double*>, std::move_iterator<double*>, double*, std::allocator<double>&)
  0.00      1.44     0.00        6     0.00     0.00  double* std::__uninitialized_move_if_noexcept_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&)
  0.00      1.44     0.00        6     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      1.44     0.00        6     0.00     0.00  double* std::copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00      1.44     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  0.00      1.44     0.00        3     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size() const
  0.00      1.44     0.00        3     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::compare(char const*) const
  0.00      1.44     0.00        3     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00      1.44     0.00        3     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
  0.00      1.44     0.00        3     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&)
  0.00      1.44     0.00        3     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long)
  0.00      1.44     0.00        3     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&)
  0.00      1.44     0.00        3     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      1.44     0.00        2     0.00     0.00  std::vector<double, std::allocator<double> >::_M_default_initialize(unsigned long)
  0.00      1.44     0.00        2     0.00     0.00  std::vector<double, std::allocator<double> >::vector(unsigned long, std::allocator<double> const&)
  0.00      1.44     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z12write_outputRK6SystemiRSt14basic_ofstreamIcSt11char_traitsIcEE
  0.00      1.44     0.00        1     0.00     0.00  _GLOBAL__sub_I_main
  0.00      1.44     0.00        1     0.00     0.00  setup_atoms(System&, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, double, double, double)
  0.00      1.44     0.00        1     0.00     0.00  init_velocities(System&, double, double)
  0.00      1.44     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.44     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.44     0.00        1     0.00     3.50  System::~System()
  0.00      1.44     0.00        1     0.00     0.00  std::normal_distribution<double>::param_type::param_type(double, double)
  0.00      1.44     0.00        1     0.00     0.00  std::normal_distribution<double>::normal_distribution(double, double)
  0.00      1.44     0.00        1     0.00     0.00  double* std::__uninitialized_fill_n<true>::__uninit_fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      1.44     0.00        1     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  0.00      1.44     0.00        1     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::seed(unsigned long)
  0.00      1.44     0.00        1     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::mersenne_twister_engine<double const, void>(double const&)
  0.00      1.44     0.00        1     0.00     0.00  std::vector<double, std::allocator<double> >::_M_fill_initialize(unsigned long, double const&)
  0.00      1.44     0.00        1     0.00     0.00  std::vector<double, std::allocator<double> >::vector(unsigned long, double const&, std::allocator<double> const&)
  0.00      1.44     0.00        1     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_compare(unsigned long, unsigned long)
  0.00      1.44     0.00        1     0.00     0.00  double* std::uninitialized_fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      1.44     0.00        1     0.00     0.00  double* std::__uninitialized_fill_n_a<double*, unsigned long, double, double>(double*, unsigned long, double const&, std::allocator<double>&)
  0.00      1.44     0.00        1     0.00     0.00  __gnu_cxx::__enable_if<std::__is_integer<int>::__value, double>::__type std::sqrt<int>(int)
  0.00      1.44     0.00        1     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.69% of 1.44 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00    1.44                 main [1]
                1.12    0.11   50000/50000       compute_forces(System const&, double, double, double, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&) [2]
                0.07    0.03   50000/50000       move(System&, double) [4]
                0.03    0.02   50000/50001       scale_velocities(System&, double, double) [6]
                0.03    0.02   50000/50000       update_velocities(System&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, double) [7]
                0.00    0.00       1/1           System::~System() [10]
                0.00    0.00       3/10          std::vector<double, std::allocator<double> >::~vector() [9]
                0.00    0.00       1/1           init_velocities(System&, double, double) [11]
                0.00    0.00       1/1           setup_atoms(System&, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, double, double, double) [12]
                0.00    0.00      20/64031409     std::vector<double, std::allocator<double> >::operator[](unsigned long) [5]
                0.00    0.00  100000/100000      std::vector<double, std::allocator<double> >::operator=(std::vector<double, std::allocator<double> > const&) [41]
                0.00    0.00      13/13          std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&) [91]
                0.00    0.00      13/13          std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::~basic_string() [92]
                0.00    0.00      10/10          std::__cxx11::stod(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long*) [111]
                0.00    0.00       7/7           std::vector<double, std::allocator<double> >::vector() [125]
                0.00    0.00       3/10          std::allocator<double>::allocator() [108]
                0.00    0.00       3/13          std::allocator<double>::~allocator() [75]
                0.00    0.00       2/3           std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::compare(char const*) const [140]
                0.00    0.00       2/2           std::vector<double, std::allocator<double> >::vector(unsigned long, std::allocator<double> const&) [148]
                0.00    0.00       1/1           std::vector<double, std::allocator<double> >::vector(unsigned long, double const&, std::allocator<double> const&) [160]
-----------------------------------------------
                1.12    0.11   50000/50000       main [1]
[2]     85.4    1.12    0.11   50000         compute_forces(System const&, double, double, double, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&) [2]
                0.11    0.00 208000000/227200256     std::vector<double, std::allocator<double> >::operator[](unsigned long) const [3]
                0.00    0.00   29568/64031409     std::vector<double, std::allocator<double> >::operator[](unsigned long) [5]
                0.00    0.00  100000/100000      std::vector<double, std::allocator<double> >::assign(unsigned long, double const&) [40]
-----------------------------------------------
                0.00    0.00 6400000/227200256     update_velocities(System&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, double) [7]
                0.01    0.00 12800256/227200256     current_temp(System const&, double) [8]
                0.11    0.00 208000000/227200256     compute_forces(System const&, double, double, double, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&) [2]
[3]      8.3    0.12    0.00 227200256         std::vector<double, std::allocator<double> >::operator[](unsigned long) const [3]
-----------------------------------------------
                0.07    0.03   50000/50000       main [1]
[4]      7.2    0.07    0.03   50000         move(System&, double) [4]
                0.03    0.00 38400782/64031409     std::vector<double, std::allocator<double> >::operator[](unsigned long) [5]
-----------------------------------------------
                0.00    0.00      20/64031409     main [1]
                0.00    0.00     384/64031409     init_velocities(System&, double, double) [11]
                0.00    0.00     527/64031409     setup_atoms(System&, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, double, double, double) [12]
